,1,2,3,4,Avg
0_54,126.95991338690388,124.366292499076,122.31887149728685,122.03737537210728,123.9206131888435
0_55,128.11253911686117,125.53568386284536,123.50024948294815,123.21838759613661,125.09171501469783
0_56,129.4437946361263,126.88596665722984,124.86413366558831,124.58186436057629,126.4439398298802
0_57,131.12479458581583,128.5889798016155,126.58283235728165,126.30010840707313,128.1491787879465
0_58,133.0471654678485,130.53692585150566,128.54904270661132,128.26581669020723,130.09973767904316
0_59,135.05705339039173,132.57369297046853,130.60504736082328,130.32132708424655,132.1392802014825
0_60,137.01018235158577,134.55287022546958,132.60289831283802,132.3187300042886,134.1211702235455
0_61,138.8069801547031,136.3735429701882,134.44071537399807,134.15616456563092,135.94435076613007
0_62,140.30725441435956,137.8927781456584,135.97356722973427,135.68874480118393,137.46558614773403
0_63,141.3254237355284,138.92547243193954,137.01674385963491,136.7317015452468,138.4998353930874
0_64,141.3254237355284,138.92547243193943,137.0167438596349,136.7317015452468,138.49983539308738
0_65,141.32542373552886,138.92547243193994,137.0167438596354,136.73170154524732,138.4998353930879
0_66,141.32542373552852,138.92547243193965,137.01674385963508,136.73170154524695,138.49983539308755
0_67,141.32542373552891,138.92547243193997,137.01674385963545,136.73170154524735,138.49983539308792
0_68,141.32542373552866,138.92547243193968,137.0167438596351,136.73170154524692,138.49983539308758
1_0,141.05351786174512,138.76236681120292,137.02439973827458,136.70105388584784,138.38533457426763
1_1,140.69209982303403,138.75693405522858,137.08087913231012,136.83167702332895,138.3403975084754
1_2,140.6062102946651,138.72393625723475,137.14326647610412,136.99483507083647,138.3670620247101
1_3,140.7326715643048,138.97397146232018,137.36995751763118,137.3407767193828,138.60434431590974
1_4,141.10563144218668,139.39864309272974,137.72595998031244,137.95236130521573,139.04564895511115
1_5,141.72321117635846,140.03389983890955,138.28225481687446,138.6289423183482,139.66707703762268
1_6,142.48969253526553,140.77675041982405,138.97473001024457,139.367860578734,140.40225838601702
1_7,143.33764576467837,141.51987586257835,139.67864739707062,140.07987001154063,141.154009758967
1_8,143.78153257286883,141.88506040285165,140.02428803486617,140.42140210142347,141.52807077800253
1_9,143.91885832234016,141.98663746054598,140.1180046373876,140.51140393376312,141.6337260885092
1_10,143.99165399180637,142.04777849656983,140.17652599029796,140.56755811630038,141.69587914874361
1_11,144.1439293848658,142.19763765656674,140.3250209423535,140.71393631357557,141.8451310743404
1_12,144.44501040700703,142.49930319033928,140.62536356815878,141.0123888615329,142.1455165067595
1_13,144.90959151260785,142.96577947766147,141.09084455463125,141.47640488492448,142.61065510745624
1_14,145.525257198044,143.5846162637636,141.70961008715457,142.09364639027427,143.22828248480909
1_15,146.2364261103114,144.3007089321437,142.42741391502372,142.80920128138115,143.943437559715
1_16,146.82904645490746,144.8981201103925,143.02704540676893,143.40655508044532,144.54019176312855
1_17,147.19535833096495,145.2673575649229,143.39747707332458,143.77543689467163,144.90890746597103
1_18,147.39769903724797,145.47074794298214,143.60073228009523,143.97788894270548,145.11176705075772
1_19,147.55663317218625,145.6299658789558,143.7591862635122,144.13579931025643,145.27039615622766
1_20,147.77947086863531,145.8535861257047,143.9823559364805,144.35813997005027,145.4933882252177
1_21,148.1292238527041,146.20548366750455,144.3348212121642,144.70916366092285,145.84467309832394
1_22,148.62326407785062,146.70323585987794,144.83435333293713,145.20659187778358,146.34186128711232
1_23,149.22878027876934,147.31382446254676,145.44784278661072,145.81740267268657,146.95196255015333
