,0_0,0_30,0_60,0_68,1_0,1_30,1_60,1_85,2_0,2_30,2_60,2_90,2_94,3_0,3_30,3_60,3_90,3_101,4_0,4_30,4_60,4_90,4_115,5_0,5_30,5_60,5_90,5_120,5_130,6_0,6_30,6_60,6_84,7_0,7_30,7_46,8_0,8_30,8_33,9_0,9_30,9_45,10_0,10_30,10_46,11_0,11_30,11_43,12_0,12_30,12_60,12_64
511390,2.6016527919442162e-19,2.2567672388300114e-19,2.21228064834248e-19,2.1995758466503926e-19,1.94637705326668e-19,1.9419629255828374e-19,1.9388035071219033e-19,1.9271652528039052e-19,2.4013892959309027e-19,2.3886797238848955e-19,2.393013600648167e-19,2.3888730778313084e-19,2.3888685929847276e-19,2.2189911498286814e-19,2.21542318211417e-19,2.211010066832109e-19,2.207992380825247e-19,2.2079189808228182e-19,2.409423024374058e-19,2.4020688230882575e-19,2.400394630445747e-19,2.3994570739567047e-19,2.3993370685003313e-19,2.2848689370474576e-19,2.2914561167553396e-19,2.2931575538288774e-19,2.293884231599444e-19,2.293754800336117e-19,2.29371467565747e-19,2.289264998897278e-19,2.2826880762693226e-19,2.284420961933939e-19,2.2820628907834813e-19,2.3050180328820555e-19,2.3075070634069583e-19,2.3075772688153896e-19,2.21386780871822e-19,2.2113808868690366e-19,2.2111151385728627e-19,2.285369069649285e-19,2.280021756570862e-19,2.280252187141118e-19,2.2378494483664307e-19,2.2382170919807595e-19,2.236758249909e-19,2.19745401578706e-19,2.198802357851877e-19,2.1987380492451924e-19,2.320363535865223e-19,2.3231198074693496e-19,2.324326290930091e-19,2.324324549661838e-19
521180,1.4905548385326035e-24,1.7330682377310288e-22,1.8323236345315731e-22,1.8305625306664367e-22,1.7834505631372812e-22,1.886800151848876e-22,1.8869861187662575e-22,1.8821488509567603e-22,2.2353501547989464e-22,2.476814035883412e-22,2.4749153371791456e-22,2.473197081179174e-22,2.473196090970135e-22,2.247902963175929e-22,2.2324262236593576e-22,2.232477539157984e-22,2.232506694041863e-22,2.2324847451973954e-22,2.4251023409467575e-22,2.5320822246117236e-22,2.52825358629658e-22,2.5278094405415117e-22,2.5279489627492603e-22,2.5240285496042234e-22,2.4359843530927183e-22,2.437183763398602e-22,2.4372867052529037e-22,2.436863091776947e-22,2.4368413493011155e-22,2.3636032031727355e-22,2.333583113395156e-22,2.334679607972863e-22,2.3341159964357147e-22,2.352161023213446e-22,2.338242799339867e-22,2.339051211999925e-22,2.334322867992208e-22,2.32581566722843e-22,2.32538881051476e-22,2.360266308323234e-22,2.435047306366723e-22,2.4354378501083593e-22,2.3833175235694898e-22,2.355055574039267e-22,2.35191532627044e-22,2.3523112595735357e-22,2.321201354916519e-22,2.322771440942081e-22,2.373985280745938e-22,2.431387946401889e-22,2.432024405425271e-22,2.432033548216535e-22
521190,1.9926540504987674e-23,6.602661413047453e-22,7.665026948938526e-22,7.754983663581304e-22,7.231737699312891e-22,8.142916524898255e-22,8.385632472929617e-22,8.484113452063451e-22,1.1627588959487101e-21,1.1725924830550203e-21,1.175987375543899e-21,1.179883517081673e-21,1.179886331207187e-21,9.602532338375592e-22,9.620855229206063e-22,9.637964102475058e-22,9.656715707871815e-22,9.657472608188418e-22,1.1622051204925785e-21,1.1699832955000497e-21,1.1701622557516569e-21,1.1694763027552912e-21,1.1695267262257177e-21,1.1478871209635003e-21,1.1472121652143592e-21,1.1475722712143983e-21,1.1477540190632198e-21,1.1480363819446396e-21,1.1480544582845388e-21,1.0639769288563448e-21,1.0602751882530342e-21,1.0598539089172918e-21,1.058901790748275e-21,1.0763123573533163e-21,1.0742899861227281e-21,1.0742159995218894e-21,1.0565241545217776e-21,1.055613335540835e-21,1.0555288422979273e-21,1.1122824095569507e-21,1.118095902934614e-21,1.1186332100246736e-21,1.0243050349426932e-21,1.019889588803344e-21,1.0187786537351643e-21,1.0167965720999953e-21,1.0141308716003338e-21,1.014748653391864e-21,1.1169579407106948e-21,1.1236219972934506e-21,1.1241297710667422e-21,1.1241707641452914e-21
52120.09c,9.29034976552882e-21,1.1766666231482289e-17,3.017846327154318e-17,3.1963730300256336e-17,3.191914838991951e-17,3.754903362522283e-17,4.4047750382713977e-17,4.662416694187317e-17,4.672517209121069e-17,4.760307646784106e-17,4.903532231245089e-17,4.9913152695570864e-17,4.9913644938297245e-17,4.9867857404191266e-17,5.051301484136532e-17,5.073994853791998e-17,5.094240122520824e-17,5.095744629866521e-17,5.100711373439825e-17,5.10178024739773e-17,5.1117087379287247e-17,5.1096634032111706e-17,5.104848859605122e-17,5.103320467170105e-17,5.1067478961911416e-17,5.1075603977600077e-17,5.112249795209272e-17,5.1285593259805965e-17,5.129266428304873e-17,5.128589697591435e-17,5.1227950341802406e-17,5.1189726917582625e-17,5.1063980425697493e-17,5.1064396279876204e-17,5.1007276653112976e-17,5.371155197958227e-17,5.390711660406452e-17,5.5341862168572503e-17,5.52986583215194e-17,5.5286285449157146e-17,5.134518241117675e-17,5.101932706917301e-17,5.1007852313219974e-17,2.507828684986911e-16,2.5122123837936573e-16,2.512358699640675e-16,6.192504502997594e-17,6.641371732273009e-17,6.666093763150905e-17,6.504021846241467e-17,5.331156503913835e-17,5.2621321191135546e-17
521210,3.2909636017899517e-19,1.2576233011198006e-16,2.0010446327474983e-16,2.0645957639596267e-16,2.044699432520889e-16,2.1958191699572906e-16,2.3741450018934834e-16,2.432271448779126e-16,2.4651409162281013e-16,3.8075273221669937e-16,3.9238782521569015e-16,3.984604061849535e-16,3.984632362221247e-16,3.9802747427993717e-16,1.6475956959190545e-15,1.6567712090950319e-15,1.662116076359582e-15,1.6626243542459044e-15,1.6669752760110944e-15,2.3339920785374e-15,2.3239112371259203e-15,2.331383197371894e-15,2.329771406014888e-15,2.3770554993560083e-15,8.430433092632804e-16,8.472579326375152e-16,8.454741746333025e-16,8.480860484496014e-16,8.482073860995498e-16,8.07771897736182e-16,2.2780345257872603e-15,2.2616144056716106e-15,2.2632563915586837e-15,2.26554544586782e-15,1.2306241670640913e-15,1.2352120645157773e-15,1.6470533147326412e-15,2.1558609198786418e-15,2.1589952000579575e-15,1.9713985251411887e-15,2.8497740681302074e-15,2.8578716321491357e-15,2.6901822289566757e-15,1.5156463658934287e-15,1.502162012994564e-15,1.7857769710935282e-15,2.392788684970387e-15,2.3418278515152157e-15,2.164283240295738e-15,2.608650262893898e-15,2.713962792096969e-15,2.7161739640424082e-15
521211,3.530112325719476e-19,3.675238387791007e-16,6.412971820815004e-16,6.583962117330867e-16,6.559882708025667e-16,8.058384016186671e-16,8.888545978899239e-16,9.11433999968418e-16,9.148569604743316e-16,9.433345941991778e-16,9.622130866866134e-16,9.697592668238331e-16,9.697630594963664e-16,9.688007165135377e-16,9.803663760301053e-16,9.823322303335017e-16,9.834526783870892e-16,9.835530310225823e-16,9.851524000282738e-16,9.916199656161184e-16,9.916277842322767e-16,9.921259986906802e-16,9.918283433059954e-16,9.910309389316491e-16,9.894273560560947e-16,9.912243354033806e-16,9.912384758385434e-16,9.924217575953937e-16,9.92468555505016e-16,9.925677660998436e-16,9.923538457678975e-16,9.917636738151006e-16,9.900872015606647e-16,9.901738594768817e-16,9.89480645938193e-16,9.897744424744463e-16,9.892627407975454e-16,9.877500398479996e-16,9.876480855400728e-16,9.881242934252372e-16,9.895075083482446e-16,9.895759914475605e-16,9.892226809328253e-16,9.894823326977063e-16,9.891228121420187e-16,9.890014592391606e-16,9.86793840843877e-16,9.870991470857084e-16,9.875448104766493e-16,9.902808704567939e-16,9.9070319070956e-16,9.907322050347894e-16
52122.09c,1.5796733952659175e-12,9.058986006343885e-09,3.4225276797854915e-08,3.7175861861230305e-08,3.716517238419182e-08,4.583167254444125e-08,5.563968840074328e-08,5.97773299714685e-08,5.969904282250931e-08,6.217779653072369e-08,6.517673019969943e-08,6.678143031107971e-08,6.678241726988733e-08,6.68617860825913e-08,6.769251879159314e-08,6.802444200555589e-08,6.823812346736229e-08,6.826037057738183e-08,6.825910244564131e-08,6.855386092376913e-08,6.826736860397144e-08,6.84987992441183e-08,6.844996320040264e-08,6.846207796200794e-08,6.897498928117562e-08,6.949838119702965e-08,6.93306940760503e-08,6.957935360613601e-08,6.959278764739839e-08,6.960738860283277e-08,6.93811282983407e-08,6.882193226715134e-08,6.887882547524564e-08,6.885302346641082e-08,6.858553185310125e-08,6.878888855021434e-08,6.879584186406974e-08,6.911518820264346e-08,6.914013010800267e-08,6.91421473331168e-08,6.911025436600878e-08,6.923841987672608e-08,6.926005073721774e-08,6.928841477095504e-08,6.928101077880998e-08,6.927210927180169e-08,6.90804223310385e-08,6.90249506061668e-08,6.902627185571477e-08,6.892351680463406e-08,6.888766850581054e-08,6.887323077520945e-08
52123.09c,9.72505273502042e-16,4.34779901446835e-11,2.6812003851978213e-10,2.9938007368768036e-10,2.933063318027944e-10,3.927971119579678e-10,5.009756813347974e-10,5.48458082912892e-10,5.48371383273667e-10,5.71519958009809e-10,6.09231587833796e-10,6.295709491656445e-10,6.295838015074088e-10,6.325768506803425e-10,6.64692248773174e-10,6.70579697783755e-10,6.736695467868608e-10,6.739754815019218e-10,6.750400510903868e-10,6.86944856584186e-10,6.82407106060536e-10,6.850579865685294e-10,6.844864756159127e-10,6.82327052149758e-10,6.738479091442665e-10,6.803772749580008e-10,6.774451929197441e-10,6.806675425096284e-10,6.80843733724991e-10,6.815612631654403e-10,6.592676386818722e-10,6.522448219895588e-10,6.528484083507034e-10,6.504894596640094e-10,6.673236491085533e-10,6.732948115386832e-10,6.73266889988823e-10,6.681622377565328e-10,6.667748101240493e-10,6.69134153419309e-10,6.856146228040179e-10,6.854602412817016e-10,6.873638124161422e-10,6.850281464932231e-10,6.864327848104189e-10,6.849691728103404e-10,6.877673981412782e-10,6.893379531494999e-10,6.892740582685039e-10,6.682863891633923e-10,6.696357897010117e-10,6.693275398742954e-10
521231,2.4977766767363704e-15,2.3912505532096902e-11,1.3635722031802216e-10,1.5166335032481545e-10,1.4894984725710253e-10,2.2074485251706586e-10,2.821654372086681e-10,3.088894613965939e-10,3.1055985970138026e-10,3.262566930787311e-10,3.485047951750927e-10,3.602167108045574e-10,3.6022408237588534e-10,3.6074004475823913e-10,3.805371759930214e-10,3.839047521604507e-10,3.857051139230201e-10,3.8588166897137347e-10,3.858376576190786e-10,4.0006468458887495e-10,3.975329945649934e-10,3.99076315387908e-10,3.9874280989439387e-10,3.983118171477624e-10,3.928781257329882e-10,3.96596322815961e-10,3.948580989683435e-10,3.967543341842282e-10,3.9685769993339563e-10,3.963352708799574e-10,3.8432692573403776e-10,3.799740717401721e-10,3.8029306515491505e-10,3.787838857809156e-10,3.8728508811485875e-10,3.9107786337322453e-10,3.926082685674148e-10,3.9284866693698975e-10,3.92371704367042e-10,3.922907542802516e-10,3.9248419732907084e-10,3.916030624706135e-10,3.9251013518092374e-10,3.9494372580193644e-10,3.964161505198173e-10,3.9577216949948766e-10,3.9665011652140855e-10,3.967029651034092e-10,3.966582095634867e-10,3.870233027340625e-10,3.876758311089085e-10,3.875017416911e-10
52124.09c,8.078518842248984e-13,3.382148661765788e-09,1.7846482793315446e-08,1.9754836717564585e-08,1.9765080101866777e-08,2.373778245256447e-08,2.9872324859696614e-08,3.2606255048857005e-08,3.260138908220502e-08,3.2707728816141136e-08,3.429663058064773e-08,3.517316647348696e-08,3.5173900061802855e-08,3.5170681661238625e-08,3.574337534199466e-08,3.597296793035993e-08,3.6119619755613266e-08,3.613333044729602e-08,3.613289575662651e-08,3.5720520067378095e-08,3.537292463294767e-08,3.558587538863138e-08,3.556363929448562e-08,3.556508765350876e-08,3.596556686534773e-08,3.6252418636599106e-08,3.619771180396092e-08,3.6337993771119e-08,3.634753853405905e-08,3.634574502565148e-08,3.629035234954248e-08,3.645452522277074e-08,3.645917339452807e-08,3.645717659792695e-08,3.636558407670505e-08,3.6198446571694215e-08,3.6190173960196444e-08,3.5911415673324105e-08,3.590973511550929e-08,3.5907065653866656e-08,3.5952596052810884e-08,3.605752575874102e-08,3.606967350608809e-08,3.65548171773398e-08,3.6581839509277e-08,3.6574958060966654e-08,3.625535524681676e-08,3.6204748848816797e-08,3.620674530893817e-08,3.632234168965804e-08,3.632102083720904e-08,3.6316672381121775e-08
52125.09c,2.4472866535039937e-11,5.847502151730786e-08,2.3075756994512869e-07,2.506111213616947e-07,2.5061208193537205e-07,2.6135365212083164e-07,2.99261432079661e-07,3.208844603515531e-07,3.208844189142189e-07,3.2283576923906203e-07,3.3036394689561624e-07,3.3641071742883773e-07,3.3641576246153885e-07,3.3642137981619504e-07,3.370626991643316e-07,3.3782609612747113e-07,3.388741688099402e-07,3.389719782804552e-07,3.3897301409650574e-07,3.392086871035974e-07,3.396082660919177e-07,3.407013136169261e-07,3.404834280116441e-07,3.404812513061582e-07,3.4058627756369106e-07,3.410105129458945e-07,3.409878460585027e-07,3.4202855591880305e-07,3.420949482323635e-07,3.420953116801594e-07,3.4214437714715637e-07,3.421559688846617e-07,3.420533543969384e-07,3.4206095344590657e-07,3.4204566992986116e-07,3.41847951542087e-07,3.4184134857237215e-07,3.418035285018976e-07,3.41806393032516e-07,3.418078991178141e-07,3.419305740099283e-07,3.4207699913912714e-07,3.4209032994696567e-07,3.425583834466534e-07,3.427586631423119e-07,3.4276445667931253e-07,3.4283026444920313e-07,3.428332659174423e-07,3.4283250289506594e-07,3.4278991277190294e-07,3.4266091720130417e-07,3.426564786158047e-07
521251,7.108832564874107e-12,6.946388108309377e-09,1.5478119965666853e-08,1.61220326723678e-08,1.6121261888149935e-08,1.7534062171063422e-08,1.9619937716793627e-08,2.034415243339566e-08,2.0344236358856297e-08,2.0585504533974626e-08,2.1047785755663882e-08,2.1257329962055825e-08,2.125743190132161e-08,2.125695091535192e-08,2.1337814463691755e-08,2.1369999995079287e-08,2.1389919087820153e-08,2.139224462618102e-08,2.1392102166544634e-08,2.141276781837898e-08,2.1426626323929417e-08,2.146734362627802e-08,2.145715402837323e-08,2.145677556182403e-08,2.1466304440239947e-08,2.149749976045912e-08,2.1492431192271354e-08,2.1527767134872865e-08,2.152940652629738e-08,2.1529247605725016e-08,2.1523601112205985e-08,2.1516566008328254e-08,2.1499009514794047e-08,2.1498780925492883e-08,2.1492444861821773e-08,2.1487276901362684e-08,2.1486992731282398e-08,2.1479931738093676e-08,2.1478674138892514e-08,2.1478133950320735e-08,2.147105063670641e-08,2.147489943970775e-08,2.1475160263461628e-08,2.148474797009534e-08,2.1487956885592772e-08,2.1487742676972605e-08,2.1482796613043635e-08,2.148100126417884e-08,2.148092909619377e-08,2.1478661377018108e-08,2.1468861860229407e-08,2.1468332912175132e-08
52126.09c,5.805074989281286e-10,5.487999705584372e-08,1.1828427949041906e-07,1.2421596290633245e-07,1.241624098758168e-07,1.3630325329533346e-07,1.5280235951009849e-07,1.5960826477942623e-07,1.596262332511474e-07,1.6335907651496926e-07,1.663287231552158e-07,1.6832741005459773e-07,1.6832888744587328e-07,1.683279242709476e-07,1.6888746573132845e-07,1.697529495467461e-07,1.7018387016535522e-07,1.702146789691624e-07,1.7021812854975669e-07,1.7045538636319576e-07,1.7122973366965376e-07,1.716111129807233e-07,1.7152437021386188e-07,1.715153740136689e-07,1.7146777679730885e-07,1.7199383348774788e-07,1.7198697859676128e-07,1.7241527393945275e-07,1.7243620186353787e-07,1.724426863765164e-07,1.7273731335838837e-07,1.7171923588315605e-07,1.7183677778483928e-07,1.7183444344065232e-07,1.7128109831065986e-07,1.7122367173903304e-07,1.7123452083261445e-07,1.7172831531709935e-07,1.7184706139190647e-07,1.718747799033234e-07,1.717200939708701e-07,1.713524702422352e-07,1.7134570169763744e-07,1.7196140746339413e-07,1.722366688100104e-07,1.7224231271795988e-07,1.718004891225635e-07,1.7172506110911793e-07,1.717238777019537e-07,1.7193390443666174e-07,1.722204355498942e-07,1.7226925578753816e-07
521270,4.195039546856964e-09,7.476748658299118e-09,6.533526351564944e-09,6.448075134996314e-09,6.035942558210535e-09,6.201699250947083e-09,6.042710952488522e-09,5.971912981201617e-09,6.502479400433264e-09,6.715350175992996e-09,6.684832742036772e-09,6.662040286066109e-09,6.662024754830509e-09,6.6180288804407935e-09,6.522931050068359e-09,6.513672613163034e-09,6.5064568024072284e-09,6.506203021593303e-09,6.766385622544514e-09,7.024259778025191e-09,7.015077091196242e-09,7.009171053955156e-09,7.0093598316964475e-09,6.862113938669763e-09,6.704410477288292e-09,6.706109129096873e-09,6.707646548281357e-09,6.70556004375866e-09,6.705401278637907e-09,6.782501909007633e-09,6.857496188026382e-09,6.862652819637962e-09,6.859566872513686e-09,6.886237499739241e-09,6.880303834135312e-09,6.882102025245069e-09,6.789538753777209e-09,6.688627229681614e-09,6.6875938782901e-09,6.782919344512613e-09,6.919266724156736e-09,6.920479285331928e-09,6.892101013915876e-09,6.88576127236232e-09,6.8786225858909966e-09,6.874197389065387e-09,6.7934113059465175e-09,6.79626119836478e-09,6.852994644850112e-09,6.9786349038080536e-09,6.981865067055591e-09,6.981866200603845e-09
52327.09c,1.9115837389672665e-09,4.695664700711237e-08,4.2931886441662586e-08,4.23947236378374e-08,4.24192206893657e-08,4.587509571001587e-08,4.494084883018458e-08,4.441339698157451e-08,4.430240761877169e-08,4.466746029591784e-08,4.4506774106699354e-08,4.4351659262848835e-08,4.435154476580087e-08,4.431594050789116e-08,4.432240671123143e-08,4.424938583427988e-08,4.419050075968571e-08,4.418863059429691e-08,4.409996034066644e-08,4.439561009793836e-08,4.4305021712128976e-08,4.4267804080936294e-08,4.426807316878416e-08,4.433618774401562e-08,4.425232395821195e-08,4.4285874170208e-08,4.429770759125246e-08,4.428525391188681e-08,4.4284137107894893e-08,4.425179088442204e-08,4.42069179489119e-08,4.4243100659103785e-08,4.421137036627911e-08,4.4204349619804155e-08,4.415695178248774e-08,4.417526810586005e-08,4.420524741612155e-08,4.422681876644643e-08,4.4220125022227413e-08,4.419019996827656e-08,4.422931191996093e-08,4.4228106179671456e-08,4.423406648929265e-08,4.412868323123965e-08,4.408841624892216e-08,4.407534014623653e-08,4.401645928076361e-08,4.40349292443177e-08,4.4016613212003825e-08,4.411284956212775e-08,4.4131386042686765e-08,4.41317382831666e-08
52128.09c,1.7717699657123437e-07,7.758475393133299e-06,1.4276802237490504e-05,1.479855039173671e-05,1.4785054292660132e-05,1.6155418417532268e-05,1.7651634901586584e-05,1.8210471993498322e-05,1.8225005514903264e-05,1.848337395200812e-05,1.8807304541798434e-05,1.8967241367849657e-05,1.8967339475028942e-05,1.8965321248876962e-05,1.9032902032472483e-05,1.9060511366421515e-05,1.9080204917517474e-05,1.9082230864275882e-05,1.9088449063917525e-05,1.913957369576957e-05,1.9149818398125502e-05,1.918198747027841e-05,1.917476245619124e-05,1.917031780160164e-05,1.916322283500619e-05,1.9190076718763847e-05,1.9187348904118e-05,1.9215099140920125e-05,1.921652231861579e-05,1.921807330143001e-05,1.922266068399857e-05,1.9212794892035473e-05,1.9203547485363836e-05,1.9203814443443004e-05,1.919907094102265e-05,1.9196126150222542e-05,1.9193694807707805e-05,1.9186846929709268e-05,1.9186687249652012e-05,1.918842208102541e-05,1.9190448741265535e-05,1.9189971617473498e-05,1.918927909289708e-05,1.919630092977977e-05,1.920106373134405e-05,1.9200838785172605e-05,1.9195972815463508e-05,1.91952952860916e-05,1.9196338573330664e-05,1.919987011042368e-05,1.919434861297454e-05,1.9194412549754158e-05
521290,2.5676009173607695e-09,2.7687184179026024e-09,2.3566920429785273e-09,2.321775010523488e-09,2.080340100047193e-09,2.122066076651548e-09,2.0587872326851577e-09,2.0316469701170118e-09,2.3227400219006773e-09,2.313586917172814e-09,2.3016103091997394e-09,2.292786885499181e-09,2.2927807786019777e-09,2.251559713606894e-09,2.249736032240551e-09,2.2460668938346438e-09,2.2432061263008736e-09,2.243107233933551e-09,2.4037764705810885e-09,2.4094508746209073e-09,2.4065389857582345e-09,2.404258869464575e-09,2.404313593120407e-09,2.277325381360537e-09,2.277587937630539e-09,2.2780025957406624e-09,2.278589728319242e-09,2.2778296652599802e-09,2.2777696603455454e-09,2.3279280336971656e-09,2.320770172271483e-09,2.3225954240252942e-09,2.3215072886744773e-09,2.3295625251275892e-09,2.3289833181813664e-09,2.329541893692745e-09,2.226961874244577e-09,2.2257672785727e-09,2.225440471976736e-09,2.3130260083307942e-09,2.314463161023102e-09,2.314897541110734e-09,2.2711988445521775e-09,2.269423632708848e-09,2.267254943903527e-09,2.2514917019740617e-09,2.247134461885822e-09,2.247914973646445e-09,2.3230390582242804e-09,2.3257447915682636e-09,2.326881824586029e-09,2.3268810624719406e-09
52329.09c,2.4855050536343745e-11,4.6221314102630855e-10,5.1083573485749e-10,5.128576987788752e-10,5.06172137456171e-10,6.104671461515137e-10,6.223574718210637e-10,6.255078294360978e-10,6.340479740692513e-10,6.452972848742217e-10,6.475142440790469e-10,6.483652705229297e-10,6.483657525175255e-10,6.486105686935608e-10,6.568338191322561e-10,6.569109732221652e-10,6.569818040738702e-10,6.569960651411332e-10,6.668255201845816e-10,6.834483434340665e-10,6.827412651487879e-10,6.828294560272375e-10,6.827762293211898e-10,6.77354533181734e-10,6.657743464188236e-10,6.662193468733772e-10,6.662487054650451e-10,6.664329799298134e-10,6.664411541508595e-10,6.669469818131529e-10,6.672485071580573e-10,6.673895580611641e-10,6.670510037373027e-10,6.687811619807119e-10,6.732644866740945e-10,6.734885518958737e-10,6.707030290638345e-10,6.651557483492654e-10,6.650322212042605e-10,6.650011469158737e-10,6.719641428254252e-10,6.718058945147328e-10,6.708701501397312e-10,6.670754647538678e-10,6.669759121063377e-10,6.677418773739834e-10,6.676985523263336e-10,6.674880487813928e-10,6.709002872358266e-10,6.790543773442868e-10,6.796782265069631e-10,6.797142501612144e-10
52130.09c,9.818955897903735e-07,3.581782295079396e-05,6.315283347243383e-05,6.52757280161514e-05,6.521936724698051e-05,7.063973913388889e-05,7.644302484106761e-05,7.859627674839676e-05,7.865649791431275e-05,7.966862301038587e-05,8.089436477669488e-05,8.15049112180438e-05,8.150530282542962e-05,8.149846891255673e-05,8.174871329477251e-05,8.186827301790911e-05,8.196084766923668e-05,8.196840963186713e-05,8.199542379026593e-05,8.21861008181261e-05,8.222958503728962e-05,8.235474670107133e-05,8.232880506910549e-05,8.230843571279092e-05,8.228610726211163e-05,8.23830815916012e-05,8.237162729229827e-05,8.247437163777033e-05,8.247972833325e-05,8.248717452935115e-05,8.250606449974044e-05,8.246306496762098e-05,8.243319172757543e-05,8.243394062588258e-05,8.24171952867877e-05,8.24065663639435e-05,8.239576822174788e-05,8.236769543588068e-05,8.236783270221808e-05,8.23758348853475e-05,8.238669279238452e-05,8.238396928020882e-05,8.238069282550914e-05,8.240492126358298e-05,8.242404611463016e-05,8.242329469824246e-05,8.241024013335014e-05,8.240777370273967e-05,8.241294717711191e-05,8.241865407773754e-05,8.239385499034175e-05,8.239426177668931e-05
521310,4.511396059044032e-09,3.748424013425923e-09,2.8995040523975435e-09,2.8357210535770103e-09,2.562267666000642e-09,2.5215416795774857e-09,2.400214051613389e-09,2.3528962106104695e-09,2.6806612205264465e-09,2.657196466112105e-09,2.6342706448317698e-09,2.6188667479292566e-09,2.618856256716881e-09,2.579394990782007e-09,2.574626799637944e-09,2.568242481861932e-09,2.5632304070701664e-09,2.5630631535107863e-09,2.7448591025274372e-09,2.746966691482852e-09,2.7438059373013915e-09,2.739834336427829e-09,2.739890054746012e-09,2.5882096018290303e-09,2.5889559871201697e-09,2.5888081785235575e-09,2.589760949461036e-09,2.5885316368053154e-09,2.5884338988942083e-09,2.651747582149391e-09,2.6449101613404197e-09,2.647504394388337e-09,2.646168410259219e-09,2.6506920412056865e-09,2.650743239810108e-09,2.6513085672510394e-09,2.5378677388252794e-09,2.5364603378145586e-09,2.536127082267553e-09,2.630119146338171e-09,2.6309988764379056e-09,2.6315139946645955e-09,2.586882543195504e-09,2.5853008743252117e-09,2.5831245382035445e-09,2.5703712029065498e-09,2.5663799513102053e-09,2.5670919980932832e-09,2.647585688091719e-09,2.6516221143230598e-09,2.6531578032882014e-09,2.65314941096139e-09
521311,2.8042494177935208e-08,3.587742504774782e-08,3.076257579715495e-08,3.0329705338493414e-08,2.713060454593086e-08,2.80532516189544e-08,2.7218506357510788e-08,2.687790961930539e-08,3.0679373095844494e-08,3.06964048344132e-08,3.052008180731892e-08,3.0409772077894764e-08,3.040970075566586e-08,2.9907333758900745e-08,2.98431185546545e-08,2.980653548938365e-08,2.9776862802413053e-08,2.977569244015465e-08,3.181169004642644e-08,3.207346558707299e-08,3.203215421313973e-08,3.200331765873269e-08,3.200472577450171e-08,3.055632414212756e-08,3.040830645265966e-08,3.041107083435187e-08,3.041712550338862e-08,3.040627404971214e-08,3.040553012917106e-08,3.101486266914746e-08,3.100505967666575e-08,3.10268558894197e-08,3.101769247809408e-08,3.120963848552054e-08,3.118302852405043e-08,3.1191943993534374e-08,3.006814369982127e-08,2.990754880824465e-08,2.9903082725748794e-08,3.096301000795821e-08,3.12081482575623e-08,3.121418308053116e-08,3.0775450321213026e-08,3.069313071248601e-08,3.0661995045493e-08,3.053546010424457e-08,3.0330554119120565e-08,3.034401357411555e-08,3.110485893779687e-08,3.142034252036899e-08,3.1433810341480374e-08,3.143382111417405e-08
52132.09c,1.0975097705353034e-06,1.153459878703676e-06,8.91259388890874e-07,8.715625623032817e-07,8.103200506923376e-07,7.957713258256641e-07,7.572113203506008e-07,7.4221748818373e-07,8.199646655714966e-07,8.337007825734748e-07,8.263966695741932e-07,8.215287425295591e-07,8.215254665145147e-07,8.161924789868852e-07,8.068018415011595e-07,8.047979045871535e-07,8.032268498772642e-07,8.031745794768516e-07,8.427643709561378e-07,8.656427815102167e-07,8.64620855689259e-07,8.633611138856815e-07,8.633806207547114e-07,8.368077695176202e-07,8.215569774652354e-07,8.215083477051058e-07,8.218108372164051e-07,8.214147622333447e-07,8.213838315337475e-07,8.348782236932568e-07,8.425941236138636e-07,8.434236732753722e-07,8.430038917450435e-07,8.458336080877526e-07,8.454790702597016e-07,8.456618339870877e-07,8.29367437852168e-07,8.185058188453289e-07,8.18397244468312e-07,8.337839185341028e-07,8.474215833553123e-07,8.475857462846826e-07,8.426812639074872e-07,8.427714174034599e-07,8.420427455684689e-07,8.415484951722374e-07,8.335024548854896e-07,8.337550768276745e-07,8.441035808328439e-07,8.579025150763141e-07,8.583942607893207e-07,8.583911469119561e-07
521330,3.3861945004040737e-09,2.6209699349170174e-09,1.967680327148928e-09,1.9196454442648486e-09,1.7395930865764458e-09,1.689747535319573e-09,1.5977759520291297e-09,1.5624893185294872e-09,1.7779456416126015e-09,1.758802194574713e-09,1.7415172829187296e-09,1.7300212760099846e-09,1.7300134489590564e-09,1.7060544036057027e-09,1.7023492291924477e-09,1.6975463368804993e-09,1.6937737069144372e-09,1.6936494308199829e-09,1.8137293107989691e-09,1.8134386035253595e-09,1.8113954159718366e-09,1.808438788466041e-09,1.8084705439811268e-09,1.7056888594345e-09,1.7067677317130858e-09,1.706535220028553e-09,1.7072398296149262e-09,1.7063440869727935e-09,1.7062722394873685e-09,1.7497901622621974e-09,1.7453425103046824e-09,1.7471929886733155e-09,1.746263768487669e-09,1.747908416114725e-09,1.7481939985486347e-09,1.7485448493112908e-09,1.6738752115568223e-09,1.6733392636992803e-09,1.6731286594913933e-09,1.733833875927765e-09,1.7335316096034064e-09,1.7338748228344207e-09,1.7053135836662893e-09,1.7045490780648125e-09,1.7031917932442368e-09,1.695860772154617e-09,1.693921702235491e-09,1.6943357770500655e-09,1.7471459319389835e-09,1.749252060327215e-09,1.7503322970291633e-09,1.7503247692227333e-09
