,1,2,3,4,Avg
1_25,149.6302904929671,147.6454025081515,146.04808728020745,146.163407567723,147.37179696226227
1_26,149.9833165941893,148.00088089522836,146.40513643714482,146.5194650315432,147.7271997395264
1_27,150.24942942721816,148.26859648183563,146.67385883112368,146.78743976516796,147.99483112633635
1_28,150.48812979031396,148.5084795215639,146.91446478216437,147.0274125112375,148.23462165131994
1_29,150.76107065616134,148.78283539043494,147.1897008744794,147.30194142012053,148.50888708529905
1_30,151.11452550741143,149.13849449614105,147.54677949351577,147.65807698488666,148.86446912048874
1_31,151.56235322777724,149.58952012943405,147.99990776950582,148.10996551592117,149.31543666065957
1_32,152.06897105505024,150.10003180475908,148.51300683376695,148.62162383452454,149.8259083820252
1_33,152.56697680059793,150.60199112161322,149.01760769922285,149.1247908473117,150.32784161718644
1_34,153.00000106351868,151.03844905083588,149.45636620724343,149.56231184385462,150.76428204136315
1_35,153.35021388036532,151.39132421024607,149.81102654194817,149.91600884199502,151.11714336863864
1_36,153.63928814930557,151.68242008165456,150.10347675913854,150.20771955534272,151.40822613636033
1_37,153.91428628199995,151.95920433719698,150.38145715890448,150.48504383337,151.68499790286785
1_38,154.22697096481122,152.2739177432347,150.69753290757336,150.80038512579372,151.99970168535324
1_39,154.6121245171949,152.66170129118112,151.08708994648396,151.18901245348755,152.38748205208688
1_40,155.06807016534205,153.1209405366769,151.54855789555498,151.6493406132923,152.84672730271657
1_41,155.55544159949102,153.61198929019233,152.04210141785708,152.14163201401936,153.33779108038996
1_42,156.02060812549064,154.0807705328372,152.51333983589575,152.61165443764511,153.80659323296717
1_43,156.425931466992,154.4893021866883,152.92405576733992,153.02130039991042,154.21514745523265
1_44,156.76661853117508,154.83271561710225,153.2693272321618,153.3656674336814,154.55858220353014
1_45,157.06851019810802,155.13703419393462,153.57530059759844,153.67083829533553,154.86292082124416
1_46,157.3732437710273,155.44421093333366,153.88414410863325,153.97887772928652,155.1701191355702
1_47,157.7196731316799,155.79340862121938,154.23523220290483,154.32906233065822,155.5193440716156
1_48,158.12599897536344,156.20300166454055,154.64705863820868,154.73983323122349,155.92897312733402
1_49,158.57972013658755,156.66043340372337,155.1070288943567,155.19861610070322,156.38644963384272
1_50,159.0439701160474,157.12856066842286,155.57781042579683,155.66816705259143,156.85462706571462
1_51,159.47789216604323,157.56616301262474,156.0179341289199,156.10713116397238,157.29228011789007
1_52,159.85754639540707,157.94903497638091,156.40301327694849,156.4912035209337,157.67519954241754
1_53,160.1855696744525,158.27977336218228,156.7356174470892,156.8229639596599,158.00598111084597
1_54,160.48708699044883,158.58369646952085,157.0411967207523,157.12779969053705,158.30994496781474
1_55,160.79659428996732,158.8956287160167,157.3547990801422,157.44065414716343,158.62191905832242
1_56,161.14208027442797,159.2438690352257,157.70493424113963,157.7899391396861,158.97020567261987
1_57,161.53256883535207,159.63758858903304,158.10087300789084,158.18487947145698,159.36397747593324
1_58,161.95484936727183,160.06349535924707,158.52926746202212,158.6121534210447,159.78994140239644
1_59,162.3812505680599,160.49366005258995,158.96201255589682,159.0437375500146,160.2201651816403
1_60,162.7841295301327,160.9001453020751,159.3709706434536,159.45158687582472,160.62670808787152
1_61,163.14913823081957,161.26841931722842,159.74148509218278,159.82110215377602,160.99503619850168
1_62,163.48091303036972,161.60312407204387,160.0782018548308,160.1569269179849,161.32979146880734
1_63,163.79961620694462,161.92459901919523,160.4015810142386,160.47946498302306,161.65131530585037
1_64,164.13066999362212,162.2585189609516,160.73746925984585,160.81448343342444,161.985285411961
1_65,164.49212663533044,162.62313534146386,161.10425358007168,161.180306785406,162.349955585568
1_66,164.88526580892824,163.0197713229134,161.50328663001125,161.5782741647725,162.74664948165633
1_67,165.29304371607014,163.4312442431461,161.91729096187595,161.99115140841,163.15818258237553
1_68,165.68694947273934,163.82878039911546,162.31731351756213,162.3900669316781,163.55577758027374
1_69,166.0380903931219,164.18320572515339,162.67398813445163,162.7457412928196,163.91025638638664
1_70,166.3266086194048,164.47445729491906,162.96711180087578,163.0380341664093,164.20155297040225
1_71,166.54568142480346,164.6956287794852,163.18972101190332,163.26000706960173,164.4227595714484
1_72,166.70004140087138,164.85148210587917,163.3465976876299,163.4164322640047,164.5786383645963
1_73,166.801441992096,164.95387233922597,163.44966634009438,163.51920266397946,164.68104583384894
1_74,166.8638349250329,165.0168790399024,163.51309396167713,163.58244593990543,164.74406346662948
